"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q2","All house types","Dublin City Council","Number","109"
"New Dwelling Completion","2011Q2","All house types","Dún Laoghaire Rathdown County Council","Number","68"
"New Dwelling Completion","2011Q2","All house types","Donegal County Council","Number","139"
"New Dwelling Completion","2011Q2","All house types","Fingal County Council","Number","134"
"New Dwelling Completion","2011Q2","All house types","Galway County Council","Number","108"
"New Dwelling Completion","2011Q2","All house types","Galway City Council","Number","17"
"New Dwelling Completion","2011Q2","All house types","Kildare County Council","Number","42"
"New Dwelling Completion","2011Q2","All house types","Kilkenny County Council","Number","50"
"New Dwelling Completion","2011Q2","All house types","Kerry County Council","Number","67"
"New Dwelling Completion","2011Q2","All house types","Longford County Council","Number","14"
"New Dwelling Completion","2011Q2","All house types","Louth County Council","Number","53"
"New Dwelling Completion","2011Q2","All house types","Limerick City & County Council","Number","49"
"New Dwelling Completion","2011Q2","All house types","Leitrim County Council","Number","13"
"New Dwelling Completion","2011Q2","All house types","Laois County Council","Number","33"
"New Dwelling Completion","2011Q2","All house types","Meath County Council","Number","64"
"New Dwelling Completion","2011Q2","All house types","Monaghan County Council","Number","21"
"New Dwelling Completion","2011Q2","All house types","Mayo County Council","Number","59"
"New Dwelling Completion","2011Q2","All house types","Offaly County Council","Number","36"
"New Dwelling Completion","2011Q2","All house types","Roscommon County Council","Number","54"
"New Dwelling Completion","2011Q2","All house types","South Dublin County Council","Number","16"
"New Dwelling Completion","2011Q2","All house types","Sligo County Council","Number","34"
"New Dwelling Completion","2011Q2","All house types","Tipperary County Council","Number","94"
"New Dwelling Completion","2011Q2","All house types","Waterford City & County Council","Number","29"
"New Dwelling Completion","2011Q2","All house types","Westmeath County Council","Number","37"
"New Dwelling Completion","2011Q2","All house types","Wicklow County Council","Number","37"
"New Dwelling Completion","2011Q2","All house types","Wexford County Council","Number","77"
"New Dwelling Completion","2011Q2","All house types","Ireland","Number","1791"
"New Dwelling Completion","2011Q3","Single house","Cork City Council","Number","9"
"New Dwelling Completion","2011Q3","Single house","Clare County Council","Number","41"
"New Dwelling Completion","2011Q3","Single house","Cavan County Council","Number","43"
"New Dwelling Completion","2011Q3","Single house","Cork County Council","Number","145"
"New Dwelling Completion","2011Q3","Single house","Carlow County Council","Number","22"
"New Dwelling Completion","2011Q3","Single house","Dublin City Council","Number","17"
"New Dwelling Completion","2011Q3","Single house","Dún Laoghaire Rathdown County Council","Number","11"
"New Dwelling Completion","2011Q3","Single house","Donegal County Council","Number","99"
"New Dwelling Completion","2011Q3","Single house","Fingal County Council","Number","16"
"New Dwelling Completion","2011Q3","Single house","Galway County Council","Number","95"
"New Dwelling Completion","2011Q3","Single house","Galway City Council","Number","5"
"New Dwelling Completion","2011Q3","Single house","Kildare County Council","Number","35"
"New Dwelling Completion","2011Q3","Single house","Kilkenny County Council","Number","45"
"New Dwelling Completion","2011Q3","Single house","Kerry County Council","Number","55"
"New Dwelling Completion","2011Q3","Single house","Longford County Council","Number","8"
"New Dwelling Completion","2011Q3","Single house","Louth County Council","Number","25"
"New Dwelling Completion","2011Q3","Single house","Limerick City & County Council","Number","41"
"New Dwelling Completion","2011Q3","Single house","Leitrim County Council","Number","14"
"New Dwelling Completion","2011Q3","Single house","Laois County Council","Number","21"
"New Dwelling Completion","2011Q3","Single house","Meath County Council","Number","52"
"New Dwelling Completion","2011Q3","Single house","Monaghan County Council","Number","29"
"New Dwelling Completion","2011Q3","Single house","Mayo County Council","Number","75"
"New Dwelling Completion","2011Q3","Single house","Offaly County Council","Number","24"
"New Dwelling Completion","2011Q3","Single house","Roscommon County Council","Number","30"
"New Dwelling Completion","2011Q3","Single house","South Dublin County Council","Number","8"
"New Dwelling Completion","2011Q3","Single house","Sligo County Council","Number","25"
"New Dwelling Completion","2011Q3","Single house","Tipperary County Council","Number","60"
"New Dwelling Completion","2011Q3","Single house","Waterford City & County Council","Number","23"
"New Dwelling Completion","2011Q3","Single house","Westmeath County Council","Number","21"
"New Dwelling Completion","2011Q3","Single house","Wicklow County Council","Number","42"
"New Dwelling Completion","2011Q3","Single house","Wexford County Council","Number","61"
"New Dwelling Completion","2011Q3","Single house","Ireland","Number","1197"
"New Dwelling Completion","2011Q3","Scheme house","Cork City Council","Number","7"
"New Dwelling Completion","2011Q3","Scheme house","Clare County Council","Number","1"
"New Dwelling Completion","2011Q3","Scheme house","Cavan County Council","Number","2"
"New Dwelling Completion","2011Q3","Scheme house","Cork County Council","Number","17"
"New Dwelling Completion","2011Q3","Scheme house","Carlow County Council","Number","2"
"New Dwelling Completion","2011Q3","Scheme house","Dublin City Council","Number","4"
"New Dwelling Completion","2011Q3","Scheme house","Dún Laoghaire Rathdown County Council","Number","0"
"New Dwelling Completion","2011Q3","Scheme house","Donegal County Council","Number","15"
"New Dwelling Completion","2011Q3","Scheme house","Fingal County Council","Number","20"
"New Dwelling Completion","2011Q3","Scheme house","Galway County Council","Number","6"
"New Dwelling Completion","2011Q3","Scheme house","Galway City Council","Number","0"
"New Dwelling Completion","2011Q3","Scheme house","Kildare County Council","Number","7"
"New Dwelling Completion","2011Q3","Scheme house","Kilkenny County Council","Number","39"
"New Dwelling Completion","2011Q3","Scheme house","Kerry County Council","Number","19"
"New Dwelling Completion","2011Q3","Scheme house","Longford County Council","Number","4"
"New Dwelling Completion","2011Q3","Scheme house","Louth County Council","Number","5"
"New Dwelling Completion","2011Q3","Scheme house","Limerick City & County Council","Number","12"
"New Dwelling Completion","2011Q3","Scheme house","Leitrim County Council","Number","0"
"New Dwelling Completion","2011Q3","Scheme house","Laois County Council","Number","3"
"New Dwelling Completion","2011Q3","Scheme house","Meath County Council","Number","24"
"New Dwelling Completion","2011Q3","Scheme house","Monaghan County Council","Number","2"
"New Dwelling Completion","2011Q3","Scheme house","Mayo County Council","Number","39"
"New Dwelling Completion","2011Q3","Scheme house","Offaly County Council","Number","0"
"New Dwelling Completion","2011Q3","Scheme house","Roscommon County Council","Number","8"
"New Dwelling Completion","2011Q3","Scheme house","South Dublin County Council","Number","8"
"New Dwelling Completion","2011Q3","Scheme house","Sligo County Council","Number","7"
"New Dwelling Completion","2011Q3","Scheme house","Tipperary County Council","Number","12"
"New Dwelling Completion","2011Q3","Scheme house","Waterford City & County Council","Number","5"
"New Dwelling Completion","2011Q3","Scheme house","Westmeath County Council","Number","1"
"New Dwelling Completion","2011Q3","Scheme house","Wicklow County Council","Number","17"
"New Dwelling Completion","2011Q3","Scheme house","Wexford County Council","Number","19"
"New Dwelling Completion","2011Q3","Scheme house","Ireland","Number","305"
"New Dwelling Completion","2011Q3","Apartment","Cork City Council","Number","35"
"New Dwelling Completion","2011Q3","Apartment","Clare County Council","Number","5"
"New Dwelling Completion","2011Q3","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Cork County Council","Number","2"
"New Dwelling Completion","2011Q3","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Dublin City Council","Number","20"
"New Dwelling Completion","2011Q3","Apartment","Dún Laoghaire Rathdown County Council","Number","4"
"New Dwelling Completion","2011Q3","Apartment","Donegal County Council","Number","1"
"New Dwelling Completion","2011Q3","Apartment","Fingal County Council","Number","60"
"New Dwelling Completion","2011Q3","Apartment","Galway County Council","Number","4"
"New Dwelling Completion","2011Q3","Apartment","Galway City Council","Number","4"
"New Dwelling Completion","2011Q3","Apartment","Kildare County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Kerry County Council","Number","3"
"New Dwelling Completion","2011Q3","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Louth County Council","Number","1"
"New Dwelling Completion","2011Q3","Apartment","Limerick City & County Council","Number","2"
"New Dwelling Completion","2011Q3","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Laois County Council","Number","1"
"New Dwelling Completion","2011Q3","Apartment","Meath County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Monaghan County Council","Number","2"
"New Dwelling Completion","2011Q3","Apartment","Mayo County Council","Number","10"
"New Dwelling Completion","2011Q3","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2011Q3","Apartment","South Dublin County Council","Number","13"
"New Dwelling Completion","2011Q3","Apartment","Sligo County Council","Number","3"
